timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,bodyPitch,bodyRoll
1688904651324198,-0.002131,0.000799,-0.021039,0.728086,0.172441,-9.666299,0.071166,0.007251
1688904651336278,-0.002929,-0.000799,-0.002131,0.728086,0.172441,-9.666299,0.071537,0.004847
1688904651348097,-0.002929,-0.000799,-0.002131,0.670605,0.028740,-9.637559,0.070914,0.002493
1688904651360234,-0.004527,-0.001598,0.022104,0.670605,0.028740,-9.637559,0.070282,0.000429
1688904651372129,-0.004527,-0.001598,0.022104,0.622705,-0.172441,-9.810000,0.069367,0.002922
1688904651384241,0.004261,-0.000533,0.031692,0.622705,-0.172441,-9.810000,0.068452,0.005532
1688904651396233,0.004261,-0.000533,0.031692,0.785566,-0.335303,-9.666299,0.069401,0.008121
1688904651408246,0.005593,-0.001332,0.019441,0.785566,-0.335303,-9.666299,0.070352,0.010559
1688904651420335,0.005593,-0.001332,0.019441,0.670605,-0.335303,-9.733359,0.070175,0.013197
1688904651432324,0.006392,0.001065,0.002131,0.670605,-0.335303,-9.733359,0.070027,0.015629
1688904651444285,0.006392,0.001065,0.002131,0.708926,-0.201182,-9.675879,0.071274,0.017719
1688904651456411,-0.003995,0.004527,-0.021838,0.708926,-0.201182,-9.675879,0.072567,0.019511
1688904651468369,-0.003995,0.004527,-0.021838,0.603545,-0.019160,-9.733359,0.071379,0.017192
1688904651480322,-0.001598,0.007457,-0.027431,0.603545,-0.019160,-9.733359,0.070203,0.014821
1688904651492405,-0.001598,0.007457,-0.027431,0.728086,0.143701,-9.704619,0.070670,0.012114
1688904651504364,0.000799,0.002397,-0.012783,0.728086,0.143701,-9.704619,0.071072,0.009585
1688904651516448,0.000799,0.002397,-0.012783,0.680186,0.114961,-9.810000,0.070894,0.007035
1688904651528346,-0.006658,0.000799,0.005060,0.680186,0.114961,-9.810000,0.070692,0.004694
1688904651540320,-0.006658,0.000799,0.005060,0.708926,-0.038320,-9.666299,0.073002,0.004082
1688904651552366,-0.002397,-0.000533,0.028496,0.708926,-0.038320,-9.666299,0.075078,0.003234
1688904651564313,-0.002397,-0.000533,0.028496,0.661025,-0.239502,-9.733359,0.074297,0.005851
1688904651576310,0.008522,-0.003995,0.032491,0.661025,-0.239502,-9.733359,0.073461,0.008522
1688904651588455,0.008522,-0.003995,0.032491,0.718506,-0.402363,-9.685459,0.073453,0.011325
1688904651600407,0.000533,-0.001864,0.008788,0.718506,-0.402363,-9.685459,0.073475,0.013837
1688904651612385,0.000533,-0.001864,0.008788,0.708926,-0.450264,-9.695040,0.073414,0.016349
1688904651624482,0.000533,0.001332,-0.006392,0.708926,-0.450264,-9.695040,0.073392,0.018678
1688904651636445,0.000533,0.001332,-0.006392,0.708926,-0.105381,-9.704619,0.073262,0.016201
1688904651648373,-0.004261,0.000533,-0.025300,0.708926,-0.105381,-9.704619,0.073114,0.013492
1688904651660559,-0.004261,0.000533,-0.025300,0.699346,0.076641,-9.666299,0.073023,0.010781
1688904651672456,-0.008788,0.005326,-0.030893,0.699346,0.076641,-9.666299,0.072986,0.007999
1688904651684550,-0.008788,0.005326,-0.030893,0.670605,0.172441,-9.704619,0.072683,0.005243
1688904651696595,-0.000266,0.004261,-0.010386,0.670605,0.172441,-9.704619,0.072354,0.002742
1688904651708458,-0.000266,0.004261,-0.010386,0.641865,0.028740,-9.685459,0.070643,0.000989
1688904651720693,0.005060,0.006125,0.017843,0.641865,0.028740,-9.685459,0.068920,-0.000384
